a52dec 0.7.4-11
openmpi 4.1.2-1
openssh 8.8p1-1
openssl 1.1.1.m-1
openttd 12.1-2
openttd-opengfx 7.1-1
openttd-opensfx 1.0.3-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.79-1
otf-font-awesome 5.15.4-1
oxygen 5.23.5-1
p11-kit 0.24.0-2
p7zip 1:17.04-3
pacman 6.0.1-3
pacman-contrib 1.4.0-4
pacman-mirrorlist 20211212-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.3-1
pangomm 2.46.2-1
papirus-icon-theme 20220101-1
parted 3.4-2
paru-bin 1.9.2-1
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.39-1
peg 0.1.18-2
perl 5.34.0-3
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-timedate 2.33-3
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
pinentry 1.2.0-1
pipewire 1:0.3.43-1
pipewire-media-session 1:0.4.1-1
pixman 0.40.0-1
pkgconf 1.8.0-1
pkgfile 21-2
pkgstats 3.1.1-1
plasma-browser-integration 5.23.5-1
plasma-desktop 5.23.5-1
plasma-disks 5.23.5-1
plasma-firewall 5.23.5-1
plasma-framework 5.89.0-1
plasma-integration 5.23.5-1
plasma-nm 5.23.5-1
plasma-pa 5.23.5-1
plasma-sdk 5.23.5-1
plasma-systemmonitor 5.23.5-1
plasma-thunderbolt 5.23.5-1
plasma-vault 5.23.5-1
plasma-wayland-session 5.23.5-2
plasma-workspace 5.23.5-2
plasma-workspace-wallpapers 5.23.5-1
polkit 0.120-3
polkit-kde-agent 5.23.5-1
polkit-qt5 0.114.0-1
poppler 22.01.0-1
poppler-glib 22.01.0-1
poppler-qt5 22.01.0-1
popt 1.18-2
portaudio 1:19.7.0-1
potrace 1.16-2
powerdevil 5.23.5-1
ppp 2.4.9-1
prison 5.89.0-1
procps-ng 3.3.17-1
protobuf 3.19.2-1
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.6-2
pulseaudio-jack 15.0-1
pulseaudio-qt 1.3-1
purpose 5.89.0-1
python 3.10.1-2
python-appdirs 1.4.4-6
python-cachecontrol 1:0.12.6-4
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-distlib 0.3.4-1
python-distro 1.6.0-4
python-dnspython 1:2.1.0-3
python-gobject 3.42.0-3
python-html5lib 1.1-11
python-idna 3.3-3
python-importlib-metadata 4.8.1-3
python-markdown 3.3.6-3
python-more-itertools 8.10.0-4
python-msgpack 1.0.3-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-pep517 0.12.0-4
python-pip 20.3.4-4
python-ply 3.11-10
python-progress 1.6-5
python-pycparser 2.21-3
python-pyopenssl 21.0.0-5
python-pyparsing 2.4.7-6
python-requests 2.26.0-5
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:59.1.0-1
python-six 1.16.0-5
python-toml 0.10.2-7
python-tomli 1.2.3-1
python-urllib3 1.26.7-5
python-webencodings 0.5.1-9
python-zipp 3.6.0-3
python2 2.7.18-5
qca-qt5 2.3.4-1
qqc2-desktop-style 5.89.0-1
qrencode 4.1.1-1
qt5-base 5.15.2+kde+r277-1
qt5-declarative 5.15.2+kde+r43-1
qt5-graphicaleffects 5.15.2-1
qt5-imageformats 5.15.2-1
qt5-location 5.15.2-4
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2+kde+r9-1
qt5-script 5.15.8-2
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2+kde+r16-1
qt5-tools 5.15.2+kde+r17-4
qt5-translations 5.15.2+kde+r20-2
qt5-wayland 5.15.2+kde+r38-1
qt5-webchannel 5.15.2+kde+r5-1
qt5-webengine 5.15.8-1
qt5-x11extras 5.15.2-1
qt6-5compat 6.2.2-1
qt6-base 6.2.2-4
qt6-declarative 6.2.2-1
qt6-imageformats 6.2.2-1
qt6-svg 6.2.2-1
qt6-translations 6.2.2-2
qt6-wayland 6.2.2-1
ragel 6.10-3
rav1e 0.4.1-1
re2 1:20211101-1
readline 8.1.001-1
reflector 2021.7.8-2
rest 0.8.1-3
rhash 1.4.2-1
rnnoise 0.4.1-1
rtkit 0.13-1
rubberband 2.0.0-1
ruby 3.0.3-1
ruby-irb 1.3.6-1
ruby-reline 0.2.5-1
rubygems 3.2.29-1
run-parts 5.5-1
runescape-launcher 2.2.9-1
sbc 1.5-2
sddm 0.19.0-7
sddm-kcm 5.23.5-1
sdl2 2.0.18-3
sed 4.8-1
serd 0.30.10-1
shaderc 2021.3-1
shadow 4.8.1-4
shared-mime-info 2.0+115+gd74a913-1
signon-kwallet-extension 21.12.1-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
slang 2.3.2-2
smartmontools 7.2-1
smbclient 4.15.3-2
snappy 1.1.9-2
socat 1.7.4.1-1
solid 5.89.0-1
sonnet 5.89.0-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
source-highlight 3.1.9-7
spectacle 21.12.1-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.3-1
spotify 1:1.1.72.439-3
sqlite 3.37.2-1
sratom 0.6.8-3
srt 1.4.4-1
stremio 4.4.142-1
sudo 1.9.8.p2-3
svt-av1 0.8.7-1
syndication 5.89.0-1
syntax-highlighting 5.89.0-1
sysfsutils 2.1.1-1
systemd 250.1-1
systemd-libs 250.1-1
systemd-sysvcompat 250.1-1
systemsettings 5.23.5-1
taglib 1.12-1
talloc 2.3.3-3
tar 1.34-1
tdb 1.4.5-3
telegram-desktop 3.4.3-2
tevent 1:0.11.0-3
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
threadweaver 5.89.0-1
tracker3 3.2.1-2
tslib 1.22-1
ttc-iosevka 11.2.4-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-font-awesome 5.15.4-1
ttf-hack 3.003-3
ttf-liberation 2.1.5-1
ttf-opensans 1.101-2
tumbler 4.16.0-3
tzdata 2021e-1
uchardet 0.0.7-1
udisks2 2.9.4-1
unrar 1:6.1.3-1
unzip 6.0-16
upower 0.99.13-1
usbmuxd 1.1.1-1
util-linux 2.37.2-5
util-linux-libs 2.37.2-5
v4l-utils 1.22.1-1
vamp-plugin-sdk 2.10.0-1
vid.stab 1.1-3
vim 8.2.3890-1
vim-runtime 8.2.3890-1
visual-studio-code-bin 1.63.2-1
vlc 3.0.16-6
vmaf 1.5.3-1
volume_key 0.3.12-7
vulkan-headers 1:1.2.202-1
vulkan-icd-loader 1.2.202-1
vulkan-tools 1.2.199-1
wayland 1.20.0-1
wayland-protocols 1.24-1
wayland-utils 1.0.0-2
webkit2gtk 2.34.3-1
webrtc-audio-processing 0.3.1-3
which 2.21-5
woff2 1.0.2-3
wpa_supplicant 2:2.9-8
wpebackend-fdo 1.12.0-1
wqy-zenhei 0.9.45-9
x264 3:0.163.r3060.5db6aa6-1
x265 3.5-1
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xclip 0.13-3
xdg-dbus-proxy 0.1.2-3
xdg-desktop-portal 1.12.1-1
xdg-desktop-portal-kde 5.23.5-1
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 1.2.0-2
xfsprogs 5.14.2-1
xkeyboard-config 2.34-1
xorg-fonts-encodings 1.0.5-2
xorg-server 21.1.3-1
xorg-server-common 21.1.3-1
xorg-server-devel 21.1.3-1
xorg-setxkbmap 1.3.2-2
xorg-util-macros 1.19.3-1
xorg-xauth 1.1.1-1
xorg-xeyes 1.2.0-1
xorg-xkbcomp 1.4.5-1
xorg-xmessage 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xwayland 21.1.4-1
xorgproto 2021.5-1
xvidcore 1.3.7-2
xxhash 0.8.1-1
xz 5.2.5-2
yasm 1.3.0-4
youtube-dl 2021.12.17-1
zeromq 4.3.4-2
zimg 3.0.3-1
zita-alsa-pcmi 0.4.0-1
zita-resampler 1.8.0-1
zlib 1:1.2.11-5
zstd 1.5.1-2
zxing-cpp 1.2.0-1
