libxt 1.3.0-1
libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libzip 1.9.2-1
licenses 20220125-2
lilv 0.24.20-2
linux 6.3.7.arch1-1
linux-api-headers 6.3-1
linux-firmware 20230404.2e92a49f-1
linux-firmware-whence 20230404.2e92a49f-1
linux-headers 6.3.7.arch1-1
llvm-libs 15.0.7-3
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
luajit 2.1.0.beta3.r481.g51fb2f2c-1
lv2 1.18.10-1
lvm2 2.03.21-1
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
make 4.4.1-2
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mesa 23.1.2-1
mesa-utils 9.0.0-2
milou 5.27.5-1
minizip 1:1.2.13-2
mkinitcpio 36-1
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20230416-1
modemmanager 1.20.6-1
modemmanager-qt 5.107.0-1
mpfr 4.2.0.p9-1
mpg123 1.31.3-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
ncdu 2.2.2-2
ncurses 6.4_20230520-1
ndctl 76.1-1
neovim 0.9.1-1
netavark 1.6.0-1
netstat-nat 1.4.10-5
nettle 3.9.1-1
networkmanager 1.42.6-1
networkmanager-qt 5.107.0-1
nftables 1:1.0.7-2
noto-fonts 20230601-1
noto-fonts-cjk 20220126-1
npth 1.6-4
nspr 4.35-1
nss 3.90-1
ocl-icd 2.3.2-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.1.8-1
openjpeg2 2.5.0-2
openmpi 4.1.5-2
openpmix 4.2.3-2
openssh 9.3p1-2
openssl 3.1.1-1
opus 1.4-1
orc 0.4.34-1
ostree 2023.3-1
oxygen 5.27.5-1
oxygen-sounds 5.27.5-1
p11-kit 0.24.1-1
p7zip 1:17.05-1
pacman 6.0.2-7
pacman-mirrorlist 20230410-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20221020-1
pango 1:1.50.14-1
papirus-icon-theme 20230601-1
parted 3.6-1
paru-bin 1.11.2-1
patch 2.7.6-10
pciutils 3.10.0-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
peg 0.1.18-2
perl 5.36.1-2
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.2.1-1
pipewire 1:0.3.71-2
pipewire-alsa 1:0.3.71-2
pipewire-audio 1:0.3.71-2
pipewire-jack 1:0.3.71-2
pipewire-media-session 1:0.4.2-2
pipewire-pulse 1:0.3.71-2
pixman 0.42.2-1
pkgconf 1.8.1-1
plasma-browser-integration 5.27.5-1
plasma-desktop 5.27.5-1
plasma-disks 5.27.5-1
plasma-firewall 5.27.5-1
plasma-framework 5.107.0-1
plasma-integration 5.27.5-1
plasma-nm 5.27.5-1
plasma-pa 5.27.5-1
plasma-sdk 5.27.5-1
plasma-systemmonitor 5.27.5-1
plasma-thunderbolt 5.27.5-1
plasma-vault 5.27.5-1
plasma-wayland-session 5.27.5-1
plasma-welcome 5.27.5-1
plasma-workspace 5.27.5-1
plasma-workspace-wallpapers 5.27.5-1
plymouth 22.02.122-7
plymouth-kcm 5.27.5-1
podman 4.5.1-1
polkit 122-1
polkit-kde-agent 5.27.5-1
polkit-qt5 0.114.0-1
poppler 23.05.0-1
poppler-data 0.4.12-1
poppler-qt5 23.05.0-1
popt 1.19-1
portaudio 1:19.7.0-2
powerdevil 5.27.5-3
ppp 2.4.9-3
prison 5.107.0-1
procps-ng 3.3.17-1
protobuf 21.12-2
protobuf-c 1.4.1-1
psmisc 23.6-1
purpose 5.107.0-1
python 3.11.3-2
python-certifi 2023.05.07-1
python-distro 1.8.0-3
python-protobuf 21.12-2
python-psutil 5.9.5-1
qca-qt5 2.3.6-2
qqc2-desktop-style 5.107.0-1
qrencode 4.1.1-2
qt5-base 5.15.9+kde+r155-1
qt5-declarative 5.15.9+kde+r26-1
qt5-graphicaleffects 5.15.9-1
qt5-imageformats 5.15.9+kde+r9-1
qt5-location 5.15.9+kde+r4-1
qt5-multimedia 5.15.9+kde+r3-1
qt5-quickcontrols 5.15.9-1
qt5-quickcontrols2 5.15.9+kde+r6-1
qt5-sensors 5.15.9-1
qt5-speech 5.15.9+kde+r1-1
qt5-svg 5.15.9+kde+r8-1
qt5-tools 5.15.9+kde+r1-1
qt5-translations 5.15.9-1
qt5-wayland 5.15.9+kde+r55-1
qt5-webchannel 5.15.9+kde+r3-1
qt5-webengine 5.15.14-1
qt5-webview 5.15.9-1
qt5-x11extras 5.15.9-1
rav1e 0.6.6-1
re2 1:20230301-1
readline 8.2.001-2
rtkit 0.13-2
run-parts 5.5-1
runc 1.1.7-1
sbc 2.0-1
sddm 0.19.0-9
sddm-kcm 5.27.5-1
sdl2 2.26.5-2
sed 4.9-3
serd 0.30.16-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
signon-kwallet-extension 23.04.2-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-3
signond 8.61-1
slang 2.3.3-2
slirp4netns 1.2.0-1
smartmontools 7.3-1
smbclient 4.18.3-1
snappy 1.1.9-2
socat 1.7.4.4-1
solid 5.107.0-1
sonnet 5.107.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
source-highlight 3.1.9-10
spectacle 23.04.2-1
speex 1.2.1-1
speexdsp 1.2.1-1
sqlite 3.42.0-1
sratom 0.6.14-1
srt 1.5.1-3
sudo 1.9.13.p3-1
svt-av1 1.5.0-1
syndication 5.107.0-1
syntax-highlighting 5.107.0-1
systemd 253.5-1
